item_code,barcode,barcode_source,is_primary
DM180,5060645460015,merged_reference,true
DM181,5060645460039,merged_reference,true
DM100,5415270100834,merged_reference,true
DM170,793618511050,merged_reference,true
DM171,793618511043,merged_reference,true
DM172,793618511067,merged_reference,true
DM005,8410793371942,merged_reference,true
DM006,8410793586131,merged_reference,true
FT001,5060108450508,merged_reference,true
FT002,5060108450089,merged_reference,true
FT003,5060108450096,merged_reference,true
FT004,0812136030864,merged_reference,false
FT006,5060605060644,merged_reference,true
FT007,5060108453189,merged_reference,true
HT001,8682450831360,merged_reference,true
HT002,8682450831414,merged_reference,true
HT003,8682450831445,merged_reference,true
HT004,8682450831469,merged_reference,true
HT005,8682450831384,merged_reference,true
HT006,8682450832770,merged_reference,true
HT007,8682450831438,merged_reference,true
HT008,8682450832442,merged_reference,true
HT009,8682450831476,merged_reference,true
HT020,8682450832800,merged_reference,true
HT021,8682450832824,merged_reference,true
HT022,8682450832817,merged_reference,true
HT030,8682450831292,merged_reference,true
SFD044,4573306630012,merged_reference,true
SFD049,4573306630098,merged_reference,true
DM001,8437003091346,merged_reference,true
DM002,8437003091339,merged_reference,true
DM003,8437003091353,merged_reference,true
DM020,8435382499487,merged_reference,true
DM021,8435382499494,merged_reference,true
MN001,3052910013677,merged_reference,true
MN003,3052910013745,merged_reference,true
MN004,3052910051297,merged_reference,true
MN008,3052910015961,merged_reference,true
MN008,3052911214301,merged_reference,false
MN010,3052910047306,merged_reference,true
MN011,3052911197000,merged_reference,true
MN012,3052910056346,merged_reference,true
MN012,3052911214363,merged_reference,false
MN014,3052910021573,merged_reference,true
MN015,3052910056261,merged_reference,true
MN015,3052910656263,merged_reference,false
MN016,3052910055219,merged_reference,true
MN017,3052910021665,merged_reference,true
MN018,3052910047214,merged_reference,true
MN018,3052911364198,merged_reference,false
MN019,3052910056469,merged_reference,true
MN019,3052911135361,merged_reference,false
MN021,3025910055325,merged_reference,true
MN022,3052910018924,merged_reference,true
MN022,3052911135385,merged_reference,false
MN025,3052911197819,merged_reference,true
MN025,3052911197833,merged_reference,false
MN028,3052910056223,merged_reference,true
MN029,3052910021689,merged_reference,true
MN032,3052910021641,merged_reference,true
MN033,3052910056179,merged_reference,true
MN034,3052910021528,merged_reference,true
MN034,3052911134821,merged_reference,false
MN035,3052910021559,merged_reference,true
MN035,3052911134890,merged_reference,false
MN036,3052910010225,merged_reference,true
MN037,305210021795,merged_reference,true
MN037,3052911134784,merged_reference,false
MN038,305210055332,merged_reference,true
MN039,3052910056339,merged_reference,true
MN039,3052911135194,merged_reference,false
MN041,305291005226,merged_reference,true
MN043,3052910056360,merged_reference,true
MN043,3052911361104,merged_reference,false
MN059,3052910041007,merged_reference,true
MN061,3052911143434,merged_reference,true
MN062,3052910018917,merged_reference,true
MN064,3052910015107,merged_reference,true
MN068,3052910055318,merged_reference,true
MN072,3052910047191,merged_reference,true
MN074,3052910046682,merged_reference,true
MN088,3052910047405,merged_reference,true
MN100,3052910047443,merged_reference,true
MN101,3052910047467,merged_reference,true
MN102,3052910047450,merged_reference,true
