customer_code,customer_name,customer_name_ar,salesman_code,salesman_name,type,group_name,category,area,phone,credit_days,credit_limit,notes,is_active
AC006,ICE CREAM WORLD,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
AC015,ABHAR CATERING COMPANY,,KH,KHALEEL,,,,,,30,0.000,,true
AC019,HABCHI & CHALHOUB W.L.L,,X,OFFICE,,,,,,30,0.000,,true
AC05,SYPRUS CAFE EGAILA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
AC06,DONT USE THIS CODE,,X,OFFICE,,,,,,30,0.000,,true
CA01,ROAST CAFE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA02,RIQA JUICE REST,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA03,GHARAYF RESTAURANT,,AS,AHMED SOBHI,,,,,,30,0.000,,true
CA06,MACARINA REST SALMIYA,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA07,FRESH & TASTY REST SHARQ,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA08,AL BASHA AL JAHRA,,X,OFFICE,,,,,,30,0.000,,true
CA095,TASTY SALMIYA,,X,OFFICE,,,,,,30,0.000,,true
CA10,V LOUNGE REST- FAHEEL,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1000,KARKABEH CAFE,,AN,AHMAD AL NADEY,,,,,,30,0.000,,true
CA1001,GINZA ST.BAKERY,,TZ,TONY ALBERT,,,,,,30,0.000,,true
CA1002,LESSA FAKER,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1003,SALON LA PLUS BELLE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1004,ALL CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1005,ZOI RESTAURANT,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1006,RIMAL HOTEL,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1008,AMAMI PIZZA (GULF MARKETS),,RA,ROBY ELIAS,,,,,,30,0.000,,true
CA101,HAZELNUT,,X,OFFICE,,,,,,30,0.000,,true
CA1010,BURGER LOCATION,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1011,FITNESS WAY,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1012,MUG CAFE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1016,DISTRICT CAFE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1017,MAKE BUSINESS COFFE - SALMIYA,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1018,HEALTH STUDIO RESTUARANT,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1019,XIV ARDIYA,,JP,MOHAMAD AHMAD NASSER,,,,,,30,0.000,,true
CA1020,HAMRA STREET,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1021,ABOU JOHNY,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1022,MADAM NAVREEN,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1025,GRAM CAFE,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1026,LIQUID RESTAURANT,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1027,EYEACREAM AND FRIENDS,,X,OFFICE,,,,,,30,0.000,,true
CA1028,SAN MACRO-ITALIAN REST BOULIVARD,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA103,AL RAMLAWI SWEET,,X,OFFICE,,,,,,30,0.000,,true
CA1030,"WHITE CAFE-SALMIYA , NEAR MARINA MALL",,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1031,MR OSAMA (AL RIFAI),,X,OFFICE,,,,,,30,0.000,,true
CA1032,MY COFFEE-ABU HALIFA,,SK,SAJJAD KANDI,,,,,,30,0.000,,true
CA1034,CREP TOWN,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1035,THE BLIND PANDA COFFEE BAR,,AN,AHMAD AL NADEY,,,,,,30,0.000,,true
CA1036,VENUS 5 CAFE-89 MALL EGAILA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1037,THE SEIZE,,MZ,MUSAFIR KARIYIL,,,,,,30,0.000,,true
CA1040,VENUS 5 CAFE,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1042,NITRO CAFE,,MG,CHARLS PUTHEN VEETTIL CHACKO,,,,,,30,0.000,,true
CA1043,NARA REST,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA1044,RYTHM CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1045,STUFFED CAFE,,MZ,MUSAFIR KARIYIL,,,,,,30,0.000,,true
CA1046,MUKHA CAFE SHARQ,,JC,JERVEE CRUZ MORALES,,,,,,30,0.000,,true
CA1047,BARISTA CAFE,,MA,MOHAMMED ABDEL ALIM,,,,,,30,0.000,,true
CA1049,FACE OFF CAFE,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA105,MORANO ARDIYA,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1050,CHICKEN INAZEL,,TZ,TONY ALBERT,,,,,,30,0.000,,true
CA1052,DIET CIRCLE - ARDIYA,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1053,ZEPHORA - AGUELA - EMALL 89,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1056,MOLTEN ME,,JT,JIMMY THOMAS,,,,,,30,0.000,,true
CA1057,COOK FRAMES,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1058,PASCIO - AIRPORT,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1059,BARTONE- SHARQ,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1061,DARK COFFEE - BAITAK TOWER,,RA,ROBY ELIAS,,,,,,30,0.000,,true
CA1062,SECOND HOME - ARDIYA,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1064,NOVMBRE,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA1065,OR NOYAU,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1067,MURANO,,JM,JHONY MURAD,,,,,,30,0.000,,true
CA1068,CAFETIRIYA SHUWAIKH,,MB,MOHAMAD SAEED,,,,,,30,0.000,,true
CA107,HALA ALBAIT,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1070,AMAR SULTAN,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA1073,JUICE BAR - AIRPORT,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1074,ALAM MANGO,,ME,NADER ADLY FARHAT,,,,,,30,0.000,,true
CA1078,LEMON LIME,,X,OFFICE,,,,,,30,0.000,,true
CA108,FAWANEES,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1081,WAHAT ELQUREN,,ME,NADER ADLY FARHAT,,,,,,30,0.000,,true
CA1082,FRUIT BASKET,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1086,KIWI FRUIT,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1088,SHEREEN FRUIT,,ME,NADER ADLY FARHAT,,,,,,30,0.000,,true
CA1089,FRIUTY BUBBLES,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1094,MAYFAIR GRILL,,MG,CHARLS PUTHEN VEETTIL CHACKO,,,,,,30,0.000,,true
CA1095,FOODZONE,,MG,CHARLS PUTHEN VEETTIL CHACKO,,,,,,30,0.000,,true
CA1096,DI PIETRO,,MG,CHARLS PUTHEN VEETTIL CHACKO,,,,,,30,0.000,,true
CA1098,THE WEST,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1099,MARIO - MANGAF,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1102,"""SKY LONGE"" SHRAQ",,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1103,"""SKY LONGE"" SALMIYA",,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1104,EATS CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1105,SPARNGLES BURGER,,RA,ROBY ELIAS,,,,,,30,0.000,,true
CA1106,CHUCKS BURGER - AL SOOR TOWER CITY,,RA,ROBY ELIAS,,,,,,30,0.000,,true
CA1107,GRAND MAJESTIC HOTEL,,JP,MOHAMAD AHMAD NASSER,,,,,,30,0.000,,true
CA1109,LOCAL COOKIES,,SK,SAJJAD KANDI,,,,,,30,0.000,,true
CA111,JABRIYAH JUICE,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1110,SWEET PASSION (QURAIN),,AK,ABDUL KADER,,,,,,30,0.000,,true
CA1113,GURMET BAZER,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1114,ALGERIA REST,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1115,FRD - 30 MALL ABU HASASNIYA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1116,DAMPA LOUNGE,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1117,LINA'S ART RESTARANT (MUBARAKIA),,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1118,LITTLE PINK DOOR (QURTOBA COOP),,SK,SAJJAD KANDI,,,,,,30,0.000,,true
CA1119,VURO CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1120,GRAVITY CAFE,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1121,TRIPLE A - METRO CENTRE EGAILA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1122,MEOW COFFEE - QURAIN,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1125,SULTAN OF THE MEAT - ARABELLA,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1127,MANHANTEEN BURGER,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1128,ALIPO REST. KHAITAN,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1129,DAHAWI REST. ARDIYA,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA113,LEGEND CAFE,,X,OFFICE,,,,,,30,0.000,,true
CA1130,BAYTOTI RESTAURANT,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1132,"""PUBLIK "" SHARQ",,MT,MENA SALAH BASHANDY SAMAAN,,,,,,30,0.000,,true
CA1133,BREAK CAFE - SHARQ AL GHAWALI COMPLEX,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1134,U-SELECTED -NEW ARDIYA,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1137,LA PALIT,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA1140,LANOISET,,ME,NADER ADLY FARHAT,,,,,,30,0.000,,true
CA1142,ART CARE - ARDIYA,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1143,AMAR AL SULTAN - NEW ARDIYA,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1145,BUTTER FLY - ALQURAIN,,MT,MENA SALAH BASHANDY SAMAAN,,,,,,30,0.000,,true
CA1146,DR - IMAM GHAWABLI - ALSURRA,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA1147,IBRAHIM AL ZAMEL,,MB,MOHAMAD SAEED,,,,,,30,0.000,,true
CA1148,WONDERFUL STATIO-FARWANIYA,,TK,OMAR AL JABI,,,,,,30,0.000,,true
CA1149,LE PETIT - AL QURAIN BEHIND LULU SUPERMARKET,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA115,KONOZ AL SHARQ,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1158,YUMMY REST,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1159,HUSH CAFE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA116,BAIT DEXON,,JL,JALIL,,,,,,30,0.000,,true
CA1160,LIGHT OPTION,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1162,COOK FRAMES,,RA,ROBY ELIAS,,,,,,30,0.000,,true
CA1164,DAIRY QUEEN,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1167,EYES CREAM,,RK,RAWAD KASEM,,,,,,30,0.000,,true
CA1168,CHICKEN ON FIRE,,AN,AHMAD AL NADEY,,,,,,30,0.000,,true
CA117,BLUE SKY,,JM,JHONY MURAD,,,,,,30,0.000,,true
CA1170,HORECA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1171,DIET SLIM,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1176,MAZAT AL SHAM,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1182,AUBURN PASTRY,,AD,MOHAMAD ADNAN ABDALLAH,,,,,,30,0.000,,true
CA1185,SOCRAT BAKARY,,ME,NADER ADLY FARHAT,,,,,,30,0.000,,true
CA1186,AROUSSA,,ME,NADER ADLY FARHAT,,,,,,30,0.000,,true
CA1187,COCOA JI,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1188,REVE,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1189,MINI & MANY,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1193,BAKERY HOUSE,,KH,KHALEEL,,,,,,30,0.000,,true
CA1194,LAYERS,,TK,OMAR AL JABI,,,,,,30,0.000,,true
CA1195,ART CAKE,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1197,REY REST,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1198,GOURMANIA HOTEL (FARWANIYA),,JT,JIMMY THOMAS,,,,,,30,0.000,,true
CA1199,SO GREEN SHUWAIKH,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA120,DELMAR SALMIYA,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1202,PIZZASTA REST,,MZ,MUSAFIR KARIYIL,,,,,,30,0.000,,true
CA1204,GEISH CAFE (KBT TOWER),,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1207,REPOSO CAFE,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1208,KEY CAFE,,AS,AHMED SOBHI,,,,,,30,0.000,,true
CA1209,SLOANS CAFE,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1210,OVO-VEGAN - BIEND AL GAR,,MG,CHARLS PUTHEN VEETTIL CHACKO,,,,,,30,0.000,,true
CA1211,ARIA COFFEE - ARDIYA,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1212,LUY COFFEE - ARDIYA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1213,EXIT COFFEE - ARDIYA,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1214,LOBBY INTERNET - FARWANIYA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1216,DUWAILA,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1219,MALIBOU CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA122,DARK PALACE SALMIYA,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1224,CRISP HOUSE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1225,FATTOUCH,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1226,SOUL BAR,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1227,TRIPLE A - ABU HASANIYA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1229,KOOBS,,MA,MOHAMMED ABDEL ALIM,,,,,,30,0.000,,true
CA1230,MAMMA MIA CAFE -QADSIYA,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1231,CHICK RESTAURANT,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1232,TIRAMISU CAFE,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1235,JAMAL TRADING CO - ARDIYA,,AN,AHMAD AL NADEY,,,,,,30,0.000,,true
CA1237,USHK CAFE,,JP,MOHAMAD AHMAD NASSER,,,,,,30,0.000,,true
