item_code,cost_price,selling_price,discount,price_source,review_flag,review_reason
DM180,70.000,77.000,0.100,master_rsp_ctn,false,
DM181,70.000,77.000,0.100,master_rsp_ctn,false,
DM100,14.000,15.400,0.100,master_rsp_ctn,false,
CFR100,0.000,15.000,0.000,ref_rsp_price,false,
CFR150,0.000,60.000,0.000,ref_rsp_price,false,
CFR011,0.000,12.000,0.000,ref_rsp_price,false,
CFR041,0.000,13.000,0.000,ref_rsp_price,false,
CFR042,0.000,0.000,0.000,,false,
DM170,72.000,79.200,0.100,master_rsp_ctn,false,
DM171,72.000,79.200,0.100,master_rsp_ctn,false,
DM172,72.000,79.200,0.100,master_rsp_ctn,false,
EW001,0.000,9.000,0.000,ref_rsp_price,false,
EW002,0.000,9.500,0.000,ref_rsp_price,false,
EW003,0.000,8.500,0.000,ref_rsp_price,false,
EW004,0.000,9.500,0.000,ref_rsp_price,false,
DM005,7.000,7.700,0.100,master_rsp_ctn,false,
DM006,7.500,8.250,0.100,master_rsp_ctn,false,
FT001,9.800,10.780,0.100,master_rsp_ctn,false,
FT002,9.800,10.780,0.100,master_rsp_ctn,false,
FT003,1.633,1.796,0.100,master_rsp_ctn,false,
FT004,9.800,10.780,0.100,master_rsp_ctn,false,
FT006,9.800,10.780,0.100,master_rsp_ctn,false,
FT007,1.633,1.796,0.100,master_rsp_ctn,false,
HT001,0.000,10.800,0.000,ref_rsp_price,false,
HT002,0.000,10.800,0.000,ref_rsp_price,false,
HT003,0.000,10.800,0.000,ref_rsp_price,false,
HT004,0.000,10.800,0.000,ref_rsp_price,false,
HT005,0.000,10.800,0.000,ref_rsp_price,false,
HT006,0.000,10.800,0.000,ref_rsp_price,false,
HT007,0.000,10.800,0.000,ref_rsp_price,false,
HT008,0.000,10.800,0.000,ref_rsp_price,false,
HT009,0.000,10.800,0.000,ref_rsp_price,false,
HT020,0.000,9.000,0.000,ref_rsp_price,false,
HT021,0.000,9.000,0.000,ref_rsp_price,false,
HT022,0.000,9.000,0.000,ref_rsp_price,false,
HT030,0.000,7.550,0.000,ref_rsp_price,false,
SFD044,3.500,3.850,0.100,master_rsp_ctn,false,
SFD049,4.500,4.950,0.100,master_rsp_ctn,false,
SFD056,0.000,22.000,0.000,ref_rsp_price,false,
DM001,24.000,26.400,0.100,master_rsp_ctn,false,
DM002,24.000,26.400,0.100,master_rsp_ctn,false,
DM003,24.000,26.400,0.100,master_rsp_ctn,false,
DM020,24.000,26.400,0.100,master_rsp_ctn,false,
DM021,24.000,26.400,0.100,master_rsp_ctn,false,
MN001,10.500,11.550,0.100,master_rsp_ctn,false,
MN003,10.500,11.550,0.100,master_rsp_ctn,false,
MN004,10.500,11.550,0.100,master_rsp_ctn,false,
MN008,19.500,21.450,0.100,master_rsp_ctn,false,
MN010,19.500,21.450,0.100,master_rsp_ctn,false,
MN011,19.500,21.450,0.100,master_rsp_ctn,false,
MN012,19.500,21.450,0.100,master_rsp_ctn,false,
MN014,19.500,21.450,0.100,master_rsp_ctn,false,
MN015,19.500,21.450,0.100,master_rsp_ctn,false,
MN016,19.500,21.450,0.100,master_rsp_ctn,false,
MN017,19.500,21.450,0.100,master_rsp_ctn,false,
MN018,19.500,21.450,0.100,master_rsp_ctn,false,
MN019,19.500,21.450,0.100,master_rsp_ctn,false,
MN021,19.500,21.450,0.100,master_rsp_ctn,false,
MN022,19.500,21.450,0.100,master_rsp_ctn,false,
MN025,19.500,21.450,0.100,master_rsp_ctn,false,
MN026,0.000,3.600,0.000,ref_rsp_price,false,
MN028,19.500,21.450,0.100,master_rsp_ctn,false,
MN029,19.500,21.450,0.100,master_rsp_ctn,false,
