item_code,name_en,name_ar,brand,category,issue_count,issue_types,review_reason
BASES,,,Disaronno,Pastry & Bakery,1,missing_name_en,missing_name_en
YOGURT,,,Disaronno,Pastry & Bakery,1,missing_name_en,missing_name_en
AL90016,,,,,1,missing_name_en,missing_name_en
AX021/1,,,,,1,missing_name_en,missing_name_en
AX022/1,,,,,1,missing_name_en,missing_name_en
BZ021,,,,,1,missing_name_en,missing_name_en
CHT022,,,,,1,missing_name_en,missing_name_en
DSR105524MDISARONNO,,,,,1,missing_name_en,missing_name_en
DSR211003A,,,,,1,missing_name_en,missing_name_en
DSR2G6510,,,,,1,missing_name_en,missing_name_en
DSR2G7669,,,,,1,missing_name_en,missing_name_en
FCC064,,,,,1,missing_name_en,missing_name_en
FCC131,,,,,1,missing_name_en,missing_name_en
ISM500,,,,,1,missing_name_en,missing_name_en
MG020,,,,,1,missing_name_en,missing_name_en
PZ0113,,,,,1,missing_name_en,missing_name_en
SG521,,,,,1,missing_name_en,missing_name_en
SPC6-11858,,,,,1,missing_name_en,missing_name_en
SPC6-11874,,,,,1,missing_name_en,missing_name_en
SPC6-11918,,,,,1,missing_name_en,missing_name_en
SPC6-12333,,,,,1,missing_name_en,missing_name_en
SPC6-12455,,,,,1,missing_name_en,missing_name_en
SPC6-12514,,,,,1,missing_name_en,missing_name_en
SPC8-,,,,,1,missing_name_en,missing_name_en
VK00660-,,,,,1,missing_name_en,missing_name_en
VK00690-,,,,,1,missing_name_en,missing_name_en
VK00695-,,,,,1,missing_name_en,missing_name_en
VK00698-,,,,,1,missing_name_en,missing_name_en
VK00715-,,,,,1,missing_name_en,missing_name_en
FT003,FEVER-TREE GINGER ALE 200ML x4,فيفر-تري زنجبيل 200 مل × 4,FEVER-TREE,Beverages,1,barcode_conflict,barcode_conflict
FT004,FEVER-TREE PREMIUM SODA WATER 200ML,مياه فيفر تري بريميوم صودا 200 مل,FEVER-TREE,Beverages,1,barcode_conflict,barcode_conflict
MN026,MONIN GRENADINE C SYRUP 700ML,مونين شراب التوت المشكل,MONIN,Beverages,1,barcode_conflict,barcode_conflict
MN026/1,MONIN - GRENADINE SYRUP 700ML,مونين - جرينادين شراب 700 مل,MONIN,,1,barcode_conflict,barcode_conflict
MN261,MONIN GREEN APPLE SYRUP 0.25LT,مونين شراب التفاح الاخضر,MONIN,Beverages,1,barcode_conflict,barcode_conflict
MN261/1,MONIN - GREEN APPLE SYRUP 250ML,مونين - شراب تفاح اخضر 250 مل,MONIN,,1,barcode_conflict,barcode_conflict
OLP017,OLYMPUS - GREEK YOGURT 10% NATURAL 400G,أوليمبوس - زبادي يوناني 10٪ طبيعي 400 جم,OLYMPUS,Dairy,1,barcode_conflict,barcode_conflict
OLP018,YOGURT STRAIN 10% OLYMPUS 6X 500G,,OLYMPUS,,1,barcode_conflict,barcode_conflict
LT006,PAYSAN BRETON PETIT MOULE PLAIN CHEESE 150G,جبن بايزن بريتون الصغيرة السادة,PAYSAN BRETON,Dairy,1,barcode_conflict,barcode_conflict
LT027,PAYSON BRETON - PATIT MOULE NATURAL CHEESE 150G,بايسون بريتون - باتت مول جبن طبيعي 150 جم,PAYSON BRETON,,1,barcode_conflict,barcode_conflict
LT015,PAYSON BRETON - EMMENTHALE CHEESE PORTION 350G,بايسون بريتون - جبنة ايمينثيل قطعة 350 جم,PAYSON BRETON,,1,barcode_conflict,barcode_conflict
LT0150,EMNTHLE PORTION CHEESE 350GM,جبن إمنتال بلوك,PAYSAN BRETON,Dairy,1,barcode_conflict,barcode_conflict
LT122,GOAT LOG PB PLAIN 100GM,,PAYSAN BRETON,,1,barcode_conflict,barcode_conflict
LT122/1,PAYSON BRETON - GOAT CHEESE PLAIN 100G,بايسون بريتون - جبن الماعز 100 جم,PAYSON BRETON,Dairy,1,barcode_conflict,barcode_conflict
LT123,GOAT LOG PB GARLIC AND HERBS 100GM,,PAYSAN BRETON,,1,barcode_conflict,barcode_conflict
