item_code,batch_no,expiry_date,quantity,uom,warehouse,item_name,brand_code
LM008/1,55482,2026-04-26,1.420,KG,MAIN,"LAMB B/IN RACK, FRENCHED - AUS TASMANIA BRAND",AG
LM008/1,62184,2026-12-06,2.400,KG,MAIN,"LAMB B/IN RACK, FRENCHED - AUS TASMANIA BRAND",AG
LM008/1,63240,2027-01-02,2.320,KG,MAIN,"LAMB B/IN RACK, FRENCHED - AUS TASMANIA BRAND",AG
LM008/1,66074,2027-04-17,1.610,KG,MAIN,"LAMB B/IN RACK, FRENCHED - AUS TASMANIA BRAND",AG
LM008/1,67806,2027-04-09,1.260,KG,MAIN,"LAMB B/IN RACK, FRENCHED - AUS TASMANIA BRAND",AG
LM008/1,71640,2027-09-26,501.760,KG,MAIN,"LAMB B/IN RACK, FRENCHED - AUS TASMANIA BRAND",AG
LM008/1,74639,2028-01-06,1295.300,KG,MAIN,"LAMB B/IN RACK, FRENCHED - AUS TASMANIA BRAND",AG
LM019/1,56323,2026-02-25,1.030,KG,MAIN,LAMB RACK B/IN STANDARD AUS AUSTRALIA,AG
LM019/1,68448,2027-05-01,1.570,KG,MAIN,LAMB RACK B/IN STANDARD AUS AUSTRALIA,AG
LM019/1,75275,2027-10-16,1731.440,KG,MAIN,LAMB RACK B/IN STANDARD AUS AUSTRALIA,AG
LM020,75276,2027-11-18,4749.280,KG,MAIN,LAMB LEGS B/L AUSTRALIA AUS,AG
LM3023,61329,2026-08-12,4.400,KG,MAIN,WHOLE LAMB CARCASS - AUS AUSTRALIA,AG
LM3023,75472,2027-12-07,3105.300,KG,MAIN,WHOLE LAMB CARCASS - AUS AUSTRALIA,AG
LM3023,75277,2027-12-11,6349.300,KG,MAIN,WHOLE LAMB CARCASS - AUS AUSTRALIA,AG
MT008,68451,2027-04-15,4.860,KG,MAIN,B/L MUTTON LEGS AUS AUS,AG
MT008,70184,2027-04-12,1.600,KG,MAIN,B/L MUTTON LEGS AUS AUS,AG
MT008,75278,2027-10-26,8730.590,KG,MAIN,B/L MUTTON LEGS AUS AUS,AG
MT025,65498,2026-10-21,45.160,KG,MAIN,BONE IN MUTTON RACK,AG
VL011,69139,2027-07-21,0.100,KG,MAIN,"STIRK VEAL RACK ( FRENCHED, CAP AUS OFF ) - AUS",AG
VL019,59877,2026-08-25,1.540,KG,MAIN,BOBBY VEAL TENDERLOIN - AUS AUSTRALIA,AG
VL019,66187,2027-03-10,18.890,KG,MAIN,BOBBY VEAL TENDERLOIN - AUS AUSTRALIA,AG
VL019,67231,2027-05-11,440.920,KG,MAIN,BOBBY VEAL TENDERLOIN - AUS AUSTRALIA,AG
AK001,21846,2022-08-20,0.040,CTN,MAIN,MOOV IQF WHOLE RASPBERRIES 600 CH GM X 12 MAIN 17/07/2025 48868,AK
AK001,41413,2024-10-03,0.080,CTN,MAIN,MOOV IQF WHOLE RASPBERRIES 600 CH GM X 12 MAIN 17/07/2025 48868,AK
AK001,44250,2024-12-30,0.090,CTN,MAIN,MOOV IQF WHOLE RASPBERRIES 600 CH GM X 12 MAIN 17/07/2025 48868,AK
AK001,55967,2026-02-19,0.080,CTN,MAIN,MOOV IQF WHOLE RASPBERRIES 600 CH GM X 12 MAIN 17/07/2025 48868,AK
AK001,3,2018-12-31,0.040,CTN,MAIN,MOOV IQF WHOLE RASPBERRIES 600 CH GM X 12 MAIN 17/07/2025 48868,AK
AK001,58577,2026-06-17,0.080,CTN,MAIN,MOOV IQF WHOLE RASPBERRIES 600 CH GM X 12 MAIN 17/07/2025 48868,AK
AK001,68221,2027-02-10,400.960,CTN,MAIN,MOOV IQF WHOLE RASPBERRIES 600 CH GM X 12 MAIN 17/07/2025 48868,AK
AK002,61898,2026-06-01,0.420,CTN,MAIN,MOOV IQF 4 BERRY MIX 600 GM X 12 CH,AK
AK003,68223,2027-02-10,0.920,CTN,MAIN,MOOV IQF WHOLE STRAWBERRIES CH 600 GM X 12,AK
AK005,66322,2027-02-01,0.160,CTN,MAIN,MOOV IQF WILD BLUEBERRIES 600 CH GM X 12 MAIN 31/12/2018 7,AK
AK011,50610,2025-07-17,0.900,CTN,MAIN,MOOV IQF BLACKBERRY 300G X 20,AK
AK012,55970,2026-02-19,0.050,CTN,MAIN,MOOV IQF WILD BLUEBERRY 300 GM X 20 SALES Page 1 of 99 AK012 MOOV IQF WILD BLUEBERRY 300 GM X 20,AK
AK013,50612,2025-07-17,0.050,CTN,MAIN,MOOV IQF 4 BERRY MIX 300 GM X 20,AK
